Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,1.960000,1.960000,1.940000,1.960000,1.928354,38151
2021-01-05,1.960000,1.980000,1.950000,1.960000,1.928354,188954
2021-01-06,1.960000,1.980000,1.960000,1.960000,1.928354,103448
2021-01-07,1.970000,2.010000,1.960000,1.960000,1.928354,237079
2021-01-08,1.970000,2.000000,1.970000,2.000000,1.967708,100473
2021-01-11,2.000000,2.020000,1.990000,2.000000,1.967708,249011
2021-01-12,2.000000,2.020000,2.000000,2.020000,1.987385,484199
2021-01-13,2.050000,2.100000,2.050000,2.090000,2.056255,264712
2021-01-14,2.100000,2.180000,2.100000,2.160000,2.125125,344244
2021-01-15,2.190000,2.190000,2.140000,2.150000,2.115287,898460
2021-01-18,2.150000,2.150000,2.100000,2.100000,2.066094,74627
2021-01-19,2.100000,2.130000,2.100000,2.100000,2.066094,371981
2021-01-20,2.110000,2.120000,2.050000,2.100000,2.066094,129577
2021-01-21,2.100000,2.140000,2.080000,2.130000,2.095609,144802
2021-01-22,2.140000,2.150000,2.120000,2.130000,2.095609,367852
2021-01-25,2.140000,2.170000,2.100000,2.150000,2.115287,182285
2021-01-26,2.140000,2.160000,2.110000,2.130000,2.095609,423262
2021-01-27,2.140000,2.150000,2.100000,2.120000,2.085771,296219
2021-01-28,2.100000,2.100000,2.040000,2.040000,2.007062,266370
2021-01-29,2.020000,2.070000,2.020000,2.050000,2.016901,145060
2021-02-01,2.050000,2.070000,2.020000,2.050000,2.016901,349258
2021-02-02,2.050000,2.050000,2.020000,2.030000,1.997224,155497
2021-02-03,2.030000,2.070000,2.010000,2.040000,2.007062,196583
2021-02-04,2.040000,2.060000,2.000000,2.000000,1.967708,214002
2021-02-05,2.020000,2.040000,2.010000,2.020000,1.987385,251339
2021-02-09,2.020000,2.050000,2.020000,2.030000,1.997224,211969
2021-02-10,2.030000,2.040000,2.020000,2.030000,1.997224,196912
2021-02-11,2.030000,2.040000,2.000000,2.000000,1.967708,153795
2021-02-12,2.010000,2.030000,2.000000,2.030000,1.997224,73039
2021-02-15,2.030000,2.030000,1.990000,2.000000,1.967708,128174
2021-02-16,2.000000,2.010000,1.980000,1.990000,1.957870,155552
2021-02-17,2.000000,2.030000,2.000000,2.000000,1.967708,202436
2021-02-18,2.020000,2.030000,2.010000,2.020000,1.987385,169809
2021-02-19,2.010000,2.030000,2.000000,2.020000,1.987385,669791
2021-02-22,2.010000,2.020000,2.010000,2.010000,1.977547,105249
2021-02-23,2.010000,2.030000,2.010000,2.010000,1.977547,237369
2021-02-24,2.010000,2.020000,2.000000,2.010000,1.977547,712395
